"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11"
"19104","Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2400,2400,2400,2400,2200,2395,2200,2200,2400,2400,2500,2500,2500,2400,2500,2500,2400,2400,2400,2500,2500,2500,2525,2600,2500,2400,2375,2200,2200,2200,2200,2400,2400
"10031","New York","NY","New York-Newark-Jersey City","New York County",86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300,3450,3400,3400,3500,3489.5,3500,3447.5,3500,3400,3295,3393,3397.5,3547.5,3400,3497.5,3600,3595,3595,3795,3645,3529,3400,3395,3500,3397.5,3397.5,3550,3595,3595,3595,3500,3620,3600,3595
"92620","Irvine","CA","Los Angeles-Long Beach-Anaheim","Orange County",87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3825,4000,4100,4075,4000,4295,4100,4000,4050,4000,4047.5,4200,4000,4100,4000,4100,4300,4200,4145,4200,4200,4180,4200,4200,4200,4150,4125,4100,4200,4200,4200,4300,4300,4300,4225
"96706","Ewa Beach","HI","Urban Honolulu","Honolulu County",88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200,3200,3300,3350,3400,3300,3300,3300,3200,3000,3000,3137.5,3200,2950,3200,3200,3200,3475,3300,3400,3500,3100,3000,3000,2880,2825,3000,3100,3100,3400,3200,3200,3100,2665,2825
"30101","Acworth","GA","Atlanta-Sandy Springs-Roswell","Cobb County",89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1599,1550,1645,1617.5,1600,1600,1645,1620,1622.5,1650,1600,1597.5,1650,1700,1695,1650,1650,1695,1700,1800,1665,1732.5,1700,1776,1772.5,1840,1795,1750,1750,1750,1750,1745,1700,1695,1657.5
"89074","Henderson","NV","Las Vegas-Henderson-Paradise","Clark County",90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1637.5,1650,1525,1695,1587.5,1724.5,1750,1750,1725,1697.5,1750,1772.5,1800,1600,1600,1750,1795,1795,1795,1760,1995,1875,1795,1900,1892,1899,1975,1872.5,1895,1800,1795,1997.5,2075,1905,1995,1925,2037,1997.5,1975,1897.5
"92130","San Diego","CA","San Diego-Carlsbad","San Diego County",91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4195,4295,4500,4500,4595,4400,4200,4325,4450,4500,4500,4500,4500,4500,4500,4600,4650,4400,4500,4600,4500,4400,4500,4500,4500,4600,4500,4850,4750,4700,4587.5,4500,4500,4700,5000
"77373","Spring","TX","Houston-The Woodlands-Sugar Land","Harris County",92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,1550,1459,1450,1475,1550,1600,1530,1550,1500,1550,1550,1620,1650,1625,1612.5,1625,1650,1625,1600,1600,1600,1600,1595,1557.5,1550,1675,1700,1650,1550,1597,1591.5,1610,1697.5,1650
"02135","Boston","MA","Boston-Cambridge-Newton","Suffolk County",93,2600,2600,2600,2600,2550,2500,2500,2500,2550,2600,2700,2800,2675,2600,2650,2700,2775,2700,2750,2695,2800,2900,2800,2800,2800,2900,2950,2950,3000,3000,3000,3000,3000,2950,2950,2950,3000,3000,3000,3100,3100,3100,3100,3100,3200,3100,3199,3200,3200,3100,3100,3200,3200,3100,3100,3100,3100,3000,3085,3100,3200,3200,3200,3300,3300,3300,3300,3200,3200,3200,3200,3150,3400,3400,3400,3400,3400,3400,3400,3400,3400,3300,3300,3400,3395,3400,3400,3400,3500,3450,3400,3400,3400,3300,3300,3350,3400,3400,3450,3500,3500,3500,3500,3495,3400,3400,3400
"92563","Murrieta","CA","Riverside-San Bernardino-Ontario","Riverside County",94,,,,,,,1872.5,1972.5,1895,1895,1897.5,1950,1950,1897.5,1900,1900,1900,1900,1850,1850,1850,1850,1895,1895,1900,1895,1895,1895,1900,1900,1900,1900,1900,1900,1900,1895,1899,1895,1875,1895,1962.5,1937.5,1907.5,1950,1995,1975,1950,1937.5,1950,1937.5,1926.5,1998,2000,2000,2072.5,1999,1995,1995,2095,2000,1995,2000,2000,1995,2050,2100,2000,2100,2195,2091,2095,2095,2098,2195,2195,2197.5,2200,2150,2225,2295,2275,2272.5,2200,2185,2200,2295,2295,2325,2295,2295,2295,2395,2295,2225,2235,2285,2295,2297.5,2300,2295,2300,2395,2395,2375,2350,2350,2392.5
